survived,pclass,sex,age,sibsp,parch,fare,embarked,class,FamilySize,IsAlone,AgeGroup,FareGroup,Title,fare_log
0,3,1,22.0,1.0,0.0,7.25,2,2,2.0,0,4,1,3,2.1102132003465894
1,1,0,38.0,1.0,0.0,71.2833,0,0,2.0,0,0,3,0,4.2805931204649
1,3,0,26.0,0.0,0.0,7.925,2,2,1.0,1,4,1,4,2.188856327665703
1,1,0,35.0,1.0,0.0,53.1,2,0,2.0,0,4,3,0,3.9908341858524357
0,3,1,35.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,25.0,0.0,0.0,8.4583,1,2,1.0,1,4,2,3,2.246892662898172
0,1,1,54.0,0.0,0.0,51.8625,2,0,1.0,1,0,3,3,3.967694202798607
0,3,1,2.0,2.5,1.0,21.075,2,2,3.5,0,1,0,1,3.0944457464900235
1,3,0,27.0,0.0,2.0,11.1333,2,2,3.0,0,4,2,4,2.495953738718064
1,2,0,14.0,1.0,0.0,30.0708,0,1,2.0,0,3,0,2,3.436268471383741
1,3,0,4.0,1.0,1.0,16.7,2,2,3.0,0,1,0,2,2.8735646395797834
1,1,0,58.0,0.0,0.0,26.55,2,0,1.0,1,0,0,0,3.3160025355989236
0,3,1,20.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,39.0,1.0,2.5,31.275,2,2,3.5,0,0,0,3,3.4742929367327062
0,3,0,14.0,0.0,0.0,7.8542,2,2,1.0,1,3,1,2,2.180891922715322
1,2,0,55.0,0.0,0.0,16.0,2,1,1.0,1,0,2,4,2.833213344056216
0,3,1,2.0,2.5,1.0,29.125,1,2,3.5,0,1,0,1,3.405355391810819
1,2,1,30.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
0,3,0,31.0,1.0,0.0,18.0,2,2,2.0,0,4,0,4,2.9444389791664403
1,3,0,21.5,0.0,0.0,7.225,0,2,1.0,1,4,1,4,2.1071782966514356
0,2,1,35.0,0.0,0.0,26.0,2,1,1.0,1,4,0,3,3.295836866004329
1,2,1,34.0,0.0,0.0,13.0,2,1,1.0,1,4,2,3,2.6390573296152584
1,3,0,15.0,0.0,0.0,8.0292,1,2,1.0,1,3,1,2,2.2004637699272855
1,1,1,28.0,0.0,0.0,35.5,2,0,1.0,1,4,3,3,3.597312260588446
0,3,0,8.0,2.5,1.0,21.075,2,2,3.5,0,1,0,2,3.0944457464900235
1,3,0,38.0,1.0,2.5,31.3875,2,2,3.5,0,0,0,4,3.4777725458882283
0,3,1,25.0,0.0,0.0,7.225,0,2,1.0,1,4,1,3,2.1071782966514356
0,1,1,19.0,2.5,2.0,73.8625,2,0,3.5,0,4,3,3,4.315653097590581
1,3,0,21.5,0.0,0.0,7.8792,1,2,1.0,1,4,1,4,2.1837114628556327
0,3,1,25.0,0.0,0.0,7.8958,2,2,1.0,1,4,1,3,2.1855792552411137
0,1,1,40.0,0.0,0.0,27.7208,0,0,1.0,1,0,0,3,3.357621598945279
1,1,0,35.0,1.0,0.0,73.8625,0,0,2.0,0,4,3,0,4.315653097590581
1,3,0,21.5,0.0,0.0,7.75,1,2,1.0,1,4,1,4,2.169053700369523
0,2,1,63.5,0.0,0.0,10.5,2,1,1.0,1,2,2,3,2.4423470353692043
0,1,1,28.0,1.0,0.0,73.8625,0,0,2.0,0,4,3,3,4.315653097590581
0,1,1,42.0,1.0,0.0,52.0,2,0,2.0,0,0,3,3,3.970291913552122
1,3,1,25.0,0.0,0.0,7.2292,0,2,1.0,1,4,1,3,2.1076888046179385
0,3,1,21.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,0,18.0,2.0,0.0,18.0,2,2,3.0,0,3,0,4,2.9444389791664403
1,3,0,14.0,1.0,0.0,11.2417,0,2,2.0,0,3,2,2,2.5048481563289
0,3,0,40.0,1.0,0.0,9.475,2,2,2.0,0,0,2,4,2.348991465808201
0,2,0,27.0,1.0,0.0,21.0,2,1,2.0,0,4,0,4,3.091042453358316
0,3,1,25.0,0.0,0.0,7.8958,0,2,1.0,1,4,1,3,2.1855792552411137
1,2,0,3.0,1.0,2.0,41.5792,0,1,3.5,0,1,3,2,3.7513658711253766
1,3,0,19.0,0.0,0.0,7.8792,1,2,1.0,1,4,1,4,2.1837114628556327
0,3,1,25.0,0.0,0.0,8.05,2,2,1.0,1,4,1,3,2.2027647577118348
0,3,1,25.0,1.0,0.0,15.5,1,2,2.0,0,4,2,3,2.803360380906535
0,3,1,25.0,2.0,0.0,21.6792,0,2,3.0,0,4,0,3,3.1214482048688246
0,3,0,18.0,1.0,0.0,17.8,2,2,2.0,0,3,0,4,2.9338568698359038
0,3,1,7.0,2.5,1.0,39.6875,2,2,3.5,0,1,3,1,3.705920919968788
0,3,1,21.0,0.0,0.0,7.8,2,2,1.0,1,4,1,3,2.174751721484161
1,1,0,49.0,1.0,0.0,73.8625,0,0,2.0,0,0,3,0,4.315653097590581
1,2,0,29.0,1.0,0.0,26.0,2,1,2.0,0,4,0,4,3.295836866004329
0,1,1,63.5,0.0,1.0,61.9792,0,0,2.0,0,2,3,3,4.142804513146981
1,1,1,40.0,0.0,0.0,35.5,2,0,1.0,1,0,3,3,3.597312260588446
1,2,0,21.0,0.0,0.0,10.5,2,1,1.0,1,4,2,4,2.4423470353692043
0,3,1,28.5,0.0,0.0,7.2292,0,2,1.0,1,4,1,3,2.1076888046179385
1,2,0,5.0,1.0,2.0,27.75,2,1,3.5,0,1,0,2,3.3586377672433594
0,3,1,11.0,2.5,2.0,46.9,2,2,3.5,0,1,3,1,3.8691155044168695
0,3,1,22.0,0.0,0.0,7.2292,0,2,1.0,1,4,1,3,2.1076888046179385
1,1,0,38.0,0.0,0.0,73.8625,2,0,1.0,1,0,3,0,4.315653097590581
0,1,1,45.0,1.0,0.0,73.8625,2,0,2.0,0,0,3,3,4.315653097590581
0,3,1,4.0,2.5,2.0,27.9,2,2,3.5,0,1,0,1,3.3638415951183864
1,3,1,25.0,1.0,1.0,15.2458,0,2,3.0,0,4,2,3,2.7878344138303452
